小区编号,小区面积,300m公交站点计数,300m站点密度,300m地铁站数量,300m地铁站点密度,地铁站周围300m公交线路数,:地铁站周围500m公交线路数,支路长度（m）,次干道长度（m）,主干道长度（m）,快速路长度（m）,总长（m）,支路密度（km/km2）,次干道密度(km/km2),主干道密度(km/km2),快速路密度(km/km2),总道路密度(km/km2),快线长度（m）,普通线长度（m）,晚班车长度（m）,支线长度（m）,住宅POI集聚水平（签到次数/km2）,政府机构POI集聚水平（签到次数/km2）,娱乐POI集聚水平（签到次数/km2）,未知分类POI集聚水平（签到次数/km2）,旅游景点POI集聚水平（签到次数/km2）,酒店宾馆POI集聚水平（签到次数/km2）,金融POI集聚水平（签到次数/km2）,教育POI集聚水平（签到次数/km2）,交通设施POI集聚水平（签到次数/km2）,地点标志POI集聚水平（签到次数/km2）,飞机场POI集聚水平（签到次数/km2）,公共设施POI集聚水平（签到次数/km2）,公司POI集聚水平（签到次数/km2）,购物POI集聚水平（签到次数/km2）,公交线路长度（m）,公交线路密度（km/km2）,公交线网长度,公交线网密度(km/km2),轨道线路长度,轨道线网密度(km/km2),建成环境FAC1_1,建成环境FAC2_1,建成环境FAC3_1,建成环境综合评分,人口（人）,人口密度（人/km2）,小汽车可达性（分钟）,公交可达性（分钟）,延时指数,300m内公交站300m服务面积,餐饮300m内公交站服务范围内POI（签到次数/km2）,地点标志300m内公交站服务范围内POI（签到次数/km2）,飞机场300m内公交站服务范围内POI（签到次数/km2）,公共设施300m内公交站服务范围内POI（签到次数/km2）,公司300m内公交站服务范围内POI（签到次数/km2）,购物300m内公交站服务范围内POI（签到次数/km2）,交通设施300m内公交站服务范围内POI（签到次数/km2）,教育300m内公交站服务范围内POI（签到次数/km2）,金融300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆300m内公交站服务范围内POI（签到次数/km2）,旅游景点300m内公交站服务范围内POI（签到次数/km2）,未知分类300m内公交站服务范围内POI（签到次数/km2）,娱乐300m内公交站服务范围内POI（签到次数/km2）,政府机构300m内公交站服务范围内POI（签到次数/km2）,住宅300m内公交站服务范围内POI（签到次数/km2）,餐饮集聚300m内公交站服务范围内POI（签到次数/km2）,地点标志集聚300m内公交站服务范围内POI（签到次数/km2）,飞机场集聚300m内公交站服务范围内POI（签到次数/km2）,公共设施集聚300m内公交站服务范围内POI（签到次数/km2）,公司集聚300m内公交站服务范围内POI（签到次数/km2）,购物集聚300m内公交站服务范围内POI（签到次数/km2）,交通设施集聚300m内公交站服务范围内POI（签到次数/km2）,教育集聚300m内公交站服务范围内POI（签到次数/km2）,金融集聚300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆集聚300m内公交站服务范围内POI（签到次数/km2）,旅游景点集聚300m内公交站服务范围内POI（签到次数/km2）,未知分类集聚300m内公交站服务范围内POI（签到次数/km2）,娱乐集聚300m内公交站服务范围内POI（签到次数/km2）,政府机构集聚300m内公交站服务范围内POI（签到次数/km2）,住宅集聚300m内公交站服务范围内POI（签到次数/km2）,FAC1_1公交站点服务范围,FAC2_1公交站点服务范围,FAC3_1公交站点服务范围,,0时签到总数,1时签到总数,2时签到总数,3时签到总数,4时签到总数,5时签到总数,6时签到总数,7时签到总数,8时签到总数,9时签到总数,10时签到总数,11时签到总数,12时签到总数,13时签到总数,14时签到总数,15时签到总数,16时签到总数,17时签到总数,18时签到总数,19时签到总数,20时签到总数,21时签到总数,22时签到总数,23时签到总数,签到总数总计
205,1.21305,25,20.60920819,0,0,,,552.2359832,601.9189831,0,333.67761,1487.832576,0.455245854,0.496202946,0,0.275073253,1.226522053,1064.66612,1662.444702,2204.11377,2585.331693,537.4881497,0,1.648736656,335.5179094,4.121841639,3.297473311,0,0,43.69152137,12.36552492,0,62.65199291,14.01426157,6.594946622,79223.64091,65.30946037,3123.873413,2.575222302,,,-0.358538193,-0.204015404,-0.188687706,-0.286096729,32626.83021,26896.52546,1717.140206,6224.662227,3.625016877,2.5862443,438,1456,,1257,51,564,1824,59,1,44,5,650,71,23,1459,169.3575506,562.9785245,0,486.0329707,19.7197148,218.076846,705.2697999,22.8130034,0.386661075,17.01308728,1.933305373,251.3296984,27.45293629,8.893204714,564.1385077,-0.266192906,0.014353485,0.568474889,-0.046621676,104,52,30,15,15,10,20,40,38,45,37,51,42,47,40,48,42,41,33,61,98,98,126,139,1272
206,0.722215,22,30.46184308,0,0,,,764.5044548,284.7619526,1163.911859,0,2213.178266,1.058555215,0.394289723,1.611586382,0,3.064431321,587.0403964,3656.509966,1961.31895,580.7007177,228.4638231,31.84647231,42.92350616,1217.089094,0,2.769258462,0,1.384629231,1923.250002,1949.557957,0,9.692404616,112.1549677,757.3921893,65250.58813,90.34787165,3124.430984,4.326178471,,,0.009760119,-0.102846521,0.561711284,0.098148888,19888.37951,27538.03162,1800.601852,6449.230061,3.581708002,2.1629784,684,1422,,157,415,941,1925,127,5,209,29,2167,100,23,1306,316.2306198,657.4268148,0,72.5850984,191.865069,435.0482649,889.976525,58.71533437,2.311627338,96.62602271,13.40743856,1001.859288,46.23254675,10.63348575,603.7970606,-0.095319126,0.680078555,-0.603173111,-0.028492262,268,171,71,48,20,33,31,70,265,176,242,299,289,277,265,256,241,211,234,216,247,259,302,332,4823
207,1.174604,27,22.98647033,0,0,,,5604.055613,0,3173.231355,0,8777.286968,4.771016967,0,2.701532904,0,7.47254987,2.150539683,2484.858676,2225.904657,2687.764678,836.8777903,4.256753766,107.2701949,1557.120527,0,174.5269044,11.91891054,5.108104519,240.9322631,1895.958127,0,709.1751773,70.66211251,159.2025908,114838.0986,97.76750174,5315.882992,4.525680988,,,0.011779357,0.495229946,0.28963458,0.185450411,32484.35321,27655.57857,1715.407407,6807.059646,3.968188326,2.5246272,704,2233,,848,95,625,375,675,20,206,,2172,1758,5,3080,278.853052,884.4870245,0,335.8911763,37.6293181,247.5613033,148.536782,267.3662076,7.921961706,81.59620557,0,860.3250413,696.3404339,1.980490426,1219.982103,0.090647092,-0.379963549,-0.028701118,-0.031947983,329,192,113,50,49,35,67,126,262,361,355,444,429,464,397,337,412,381,347,356,435,451,443,487,7322
208,0.576697,24,41.61630804,0,0,,,1410.688587,0,832.9877798,0,2243.676367,2.446152116,0,1.444411502,0,3.890563618,681.2674098,4283.517201,1839.844483,30.45184302,709.2112496,0,126.582937,256.6338996,0,334.6644772,13.87210268,211.5495659,213.2835787,6.936051341,0,93.6366931,478.5875425,563.5541714,67111.98362,116.373041,4256.842642,7.381419779,,,-0.009141577,-0.074732889,3.568277302,0.72260131,15247.75763,26439.80744,1845.552577,6740.984631,3.652556267,2.0676322,1092,67,,113,391,557,445,169,12,1022,29,2081,238,,1156,528.140353,32.4042158,0,54.65188635,189.1051997,269.3902716,215.2220303,81.73600701,5.803740143,494.2852022,14.02570535,1006.46527,115.1075128,0,559.0936338,0.263788913,0.651458535,-0.750193154,0.151373957,96,59,25,14,15,15,17,28,37,88,114,102,106,97,105,98,115,114,87,71,77,93,91,107,1771
209,0.646818,15,23.19044925,2,3.092059899,16,29,4274.230583,938.1188586,738.4824495,0,5950.831891,6.608088493,1.450359852,1.141715984,0,9.200164329,741.6780553,1803.750877,1584.228093,196.1592213,273.6473011,0,15.4602995,114.4062163,0,3.092059899,9.276179698,69.57134774,910.6116404,13.91426955,0,23.19044925,3.092059899,23.19044925,50717.46534,78.41072039,1556.739329,2.406765626,498.2547061,0.770316698,-0.315901108,-0.248609506,-0.279525165,-0.292208079,17351.59961,26826.09267,1702.880903,6486.802041,3.809310463,2.1484993,1115,67,,528,60,927,864,1069,17,933,644,2213,1244,10,2144,518.9668901,31.18455752,0,245.7529309,27.92646942,431.4639525,402.1411596,497.5565968,7.912499669,434.2565995,299.7441051,1030.02128,579.0087993,4.65441157,997.9058406,0.435778561,-0.401687658,-0.167529001,0.142616626,54,27,14,9,3,7,35,61,45,36,47,58,38,50,43,39,45,45,44,52,35,52,66,83,988
210,1.240986,16,12.89297381,0,0,,,500.6365155,0,3265.879564,0,3766.51608,0.403418343,0,2.631681231,0,3.035099574,0,3652.52775,1865.875514,1969.983746,349.7219147,12.89297381,1715.571328,76.55203201,3.223243453,1.611621727,0,62.85324734,2.41743259,0.805810863,0,971.8079011,1.611621727,8.058108633,122003.5783,98.31180876,4961.40367,3.997952975,,,0.756668897,-0.356891,0.039424327,0.34050358,28957.90225,23334.59221,1685.065292,6708.35041,3.981062598,2.3389597,170,2217,,94,33,41,497,369,11,157,37,964,1932,5,893,72.68188503,947.8572889,0,40.18880702,14.10883651,17.52916051,212.4876286,157.7624446,4.702945502,67.12385853,15.81899851,412.1490422,826.0082463,2.137702501,381.7936666,-0.114201184,-0.72028127,-0.437763437,-0.304678687,205,124,66,57,28,15,38,97,136,186,197,219,199,197,193,244,198,200,174,181,281,292,248,223,3998
211,1.414159,23,16.26408346,0,0,,,7216.004113,1204.126725,638.489393,930.643596,9989.263827,5.10268231,0.851479024,0.451497599,0.658089788,7.063748721,358.4423695,4662.954712,219.920408,2406.486273,1579.737498,0,6.364206571,173.2478455,0,86.9774898,0,192.3404653,502.7723191,10.60701095,0,842.1966695,6.364206571,76.37047885,104158.745,73.65419658,5538.150072,3.916214564,,,-0.356676048,0.661680425,-0.223118835,-0.085228608,36931.574,26115.57399,1671.744353,6826.081973,4.08320923,2.6148815,155,17,,2077,26,137,756,278,,124,6,439,10,,2754,59.27610869,6.50125063,0,794.2998564,9.943089199,52.39243155,289.1144398,106.3145691,0,47.42088695,2.294559046,167.8852369,3.824265077,0,1053.202602,-0.301007827,0.19223908,1.073240841,0.067148398,442,224,110,65,49,55,75,135,192,253,220,182,184,177,155,151,157,187,163,225,289,371,454,540,5055
212,0.745278,19,25.49384257,1,1.341781188,6,26,4330.298082,753.1099684,259.9233291,0,5343.33138,5.810312504,1.010508788,0.348760233,0,7.169581525,165.6693946,2026.566276,1625.248142,0,1386.059967,12.07603069,93.92468314,919.1201136,0,1926.797786,17.44315544,362.2809207,24.15206138,93.92468314,0,134.1781188,12.07603069,370.3316078,81563.93379,109.440952,2257.168317,3.028625985,,,1.222051262,0.498033403,-0.333930706,0.723809025,20551.3255,27575.38194,1742.240741,6427.412747,3.689164531,2.3388374,1451,108,69,2810,309,1263,575,851,25,1889,151,1939,1224,9,1925,620.393705,46.17678852,29.50183711,1201.451627,132.1169227,540.011888,245.8486426,363.855991,10.68907142,807.6662362,64.56199136,829.0443791,523.3369365,3.84806571,823.0584991,0.977233352,0.831453359,0.900265858,0.931595116,339,184,109,63,63,54,68,104,141,143,162,192,233,261,186,188,167,188,162,257,276,244,334,416,4534
213,1.163576,33,28.36084622,2,1.718839165,24,34,4846.367981,0,2932.867754,0,7779.235735,4.165063546,0,2.52056398,0,6.685627527,0,3103.338462,2714.582593,2169.300119,179.6186927,0,35.23620288,322.2823434,17.18839165,183.056371,2.578258747,308.5316301,172.7433361,30.93910497,0,342.0489938,12.89129374,4156.1531,126129.696,108.3983307,6091.916073,5.235511967,,,0.719063672,1.221371433,-0.43666865,0.597725379,28923.44056,24857.37121,1699.00823,6357.749148,3.742035522,3.2151303,6161,86,,549,88,12271,553,474,14,2132,1101,4477,2870,2,1129,1916.252041,26.74852711,0,170.7551324,27.37058588,3816.641584,171.9992499,147.4279285,4.35441139,663.1146489,342.4433529,1392.478557,892.654335,0.62205877,351.1521757,2.381727863,-0.931272283,-0.532679639,1.120740616,239,148,98,60,52,43,47,94,163,270,485,584,581,526,530,510,470,517,413,296,310,332,377,355,7500
214,1.902447,54,28.38449639,0,0,,,1650.980749,2494.254707,4339.563484,0,8484.79894,0.867819576,1.311077106,2.281043038,0,4.45993972,1237.75046,5285.873267,2711.326375,0,529.3182938,0,26.2819411,1018.688037,6.307665864,8.935859974,0,192.3838089,103.5508479,391.6009224,0,730.6379626,10.51277644,17.34608113,172842.4369,90.85269492,5683.443921,2.987438768,4566.503732,2.400331643,-0.367750072,0.490833361,-0.184540828,-0.124139103,47529.63831,24983.42309,1792.993484,6066.7212,3.383571248,4.7009864,3873,890,,1626,185,10773,843,502,12,6578,50,4518,1161,,8058,823.8696457,189.3219687,0,345.8848551,39.35344293,2291.646706,179.324067,106.7860992,2.552655758,1399.280798,10.63606566,961.0748927,246.9694445,0,1714.108341,1.616440518,0.013930962,-0.064483118,0.95446647,436,336,191,99,64,36,23,72,132,185,181,232,240,261,239,283,275,318,317,330,318,456,501,470,5995
215,1.742684,13,7.459757478,0,0,,,148.8924685,0,0,0,148.8924685,0.085438593,0,0,0,0.085438593,0,1799.652528,811.0900973,20.1679034,59.67805982,0,12.62420496,16.64099745,98.6983297,0,0,7.459757478,10.90272247,3.44296499,0,1560.236968,4.016792488,1.147654997,83447.71489,47.88459347,1565.182056,0.898144503,,,-0.560895346,1.369719882,-0.194323623,-0.022594502,25934.63613,14882.00737,1686.379132,6607.182409,3.91796974,2.6019163,89,18,,88,15,7,499,47,,126,49,201,336,,721,34.20555842,6.917978107,0,33.8212263,5.764981756,2.690324819,191.7817264,18.0636095,0,48.42584675,18.83227374,77.25075553,129.1355913,0,277.1034564,-0.437718682,-0.357478103,-0.107284537,-0.357327404,153,83,34,44,32,32,54,90,174,132,121,151,150,110,143,152,166,171,205,162,171,212,178,175,3095
216,7.858897,22,2.799375027,0,0,,,3386.749904,0,0,1517.935391,4904.685295,0.430944687,0,0,0.193148656,0.624093342,19.52715632,674.9268364,0,0,8.143636442,0,64.2583813,0.381732958,0,0,0,28.12099459,0,0,0,2.544886388,0.127244319,1.145198875,8745.123552,1.112767294,2239.229555,0.284929241,,,-0.324180793,-0.308629441,-0.292951135,-0.31393683,30140.88434,3835.256314,1667.344008,7496.457906,4.496047528,3.0750325,144,365,,1288,16,100,781,28,,124,5,252,12,,1301,46.82877335,118.6979325,0,418.8573617,5.203197039,32.5199815,253.9810555,9.105594819,0,40.32477706,1.625999075,81.95035337,3.90239778,0,423.0849593,-0.398092838,-0.059234959,0.527220634,-0.148778584,72,24,12,11,3,5,20,26,28,38,21,28,25,27,22,23,29,33,24,38,46,84,77,107,823
217,3.222009,14,4.345115113,0,0,,,16449.94172,1013.560016,2484.496209,859.7367083,20807.73465,5.10549217,0.314573925,0.771101573,0.266832497,6.458000165,0,4567.660677,0,1722.319492,99.31691687,0,0.62073073,9.621326322,0,0,0,37.55420919,11.17315315,0,0,0,12.10424924,0.310365365,28431.61097,8.824187324,6203.682452,1.92540817,,,-0.369888467,-0.271961379,-0.206063559,-0.312240977,,,2290.459877,8860.363327,3.868377445,1.4453509,10,,,101,17,2,15,121,,,,9,105,,594,6.918735097,0,0,69.87922448,11.76184967,1.383747019,10.37810265,83.71669468,0,0,0,6.226861588,72.64671852,0,410.9728648,-0.498383664,-0.273645178,-0.034813698,-0.361837828,36,14,6,3,2,4,4,11,17,17,25,22,29,35,21,22,36,29,27,24,39,33,53,44,553
218,1.755795,34,19.36444744,3,1.708627716,12,14,5329.4977,4346.752459,862.7239588,0,10538.97412,3.035375827,2.475660575,0.491358022,0,6.002394424,0,2703.776318,0,3720.803856,854.8834004,1.139085144,2445.046261,361.0899906,0,21.07307516,1.708627716,10.25176629,244.9033059,31.89438403,0,1.139085144,6.264968291,39.86798003,79317.88824,45.17491407,6436.534909,3.665880646,3275.360179,1.86545706,2.086671135,-1.840608014,0.112648986,0.735017191,14644.50129,8340.666929,2106.38809,6749.071429,3.204096843,4.0056047,2201,103,,105,26,2773,1588,60,5,30,,1049,4358,2,3066,549.4800822,25.71397023,0,26.21327062,6.490905106,692.2799946,396.4445119,14.97901178,1.248250982,7.489505892,0,261.883056,1087.975556,0.499300393,765.4275021,0.396633128,-1.044924579,-0.578439463,-0.095832406,506,265,135,81,46,39,52,179,253,301,353,448,405,416,393,391,420,471,506,632,689,731,659,618,8989
219,7.267709,11,1.513544365,0,0,,,3898.614421,5220.962327,0,4616.571077,13736.14783,0.536429626,0.71837801,0,0.635216831,1.890024466,0,0,0,0,8.806076303,0,15.27303859,9.356456072,0.137594942,30.27088729,0,0,10.18202573,0.412784827,0,170.4801334,0,0,58570.87672,8.059056399,11233.97925,1.545738726,,,-0.363682332,-0.090393523,-0.295636136,-0.284107522,1126.402169,154.9872414,2648.230453,11142.8923,4.207674709,2.5669327,27,3,,1251,,,72,,,9,1,67,107,,45,10.5183903,1.168710033,0,487.3520837,0,0,28.04904079,0,0,3.506130098,0.389570011,26.10119073,41.68399117,0,17.53065049,-0.42342787,-0.067782973,0.638633564,-0.144320836,63,33,28,14,7,13,24,35,59,52,60,89,84,114,107,111,127,145,126,128,91,82,116,87,1795
220,2.586209,20,7.733327044,0,0,,,9663.802891,1931.117868,1338.586112,2027.67252,14961.17939,3.736667412,0.746698302,0.517586209,0.784032737,5.784984659,0,2085.479036,0,4108.161154,66.11994622,0,2.319998113,28.99997641,0,1.159999057,0,6.959994339,0,5.026662578,0,2.319998113,2.319998113,0,44136.98646,17.06628755,4888.25006,1.890121819,,,-0.352290878,-0.268796067,-0.286269263,-0.318528934,1120.344361,433.1994673,2131.048255,6425.789796,3.015318767,2.8729491,153,26,,18,13,108,389,38,2,8,,390,115,,655,53.25538138,9.04993409,0,6.265338986,4.524967045,37.59203391,135.400937,13.22682675,0.696148776,2.784595105,0,135.7490114,40.02855463,0,227.9887242,-0.489520611,-0.342296352,-0.098769262,-0.383367031,25,9,5,0,2,0,0,7,11,6,13,18,16,14,11,9,22,16,20,20,33,26,40,44,367
221,4.303796,11,2.555883225,0,0,,,20335.08651,3572.874942,0,0,23907.96145,4.724918772,0.830168284,0,0,5.555087056,0,1993.193925,0,0,110.8323908,0,38.80295442,0.23235302,0,0,0,0,6.273531552,0.23235302,0,0.464706041,0.23235302,0.23235302,16228.69583,3.770786494,4109.077391,0.954756543,,,-0.342462868,-0.294524676,-0.296373105,-0.321368766,2208.326034,513.1112241,2299.922154,8756.864008,3.807461045,2.1653988,,1,,2,1,1,23,,,,,1,234,,489,0,0.461808698,0,0.923617396,0.461808698,0.461808698,10.62160005,0,0,0,0,0.461808698,108.0632353,0,225.8244532,-0.506470223,-0.396619043,-0.11894198,-0.408852645,43,14,13,5,2,3,6,10,19,28,51,37,33,42,23,31,33,36,28,18,34,33,62,73,677
222,4.245228,25,5.88896521,0,0,,,18153.05008,1672.506711,1265.92252,0,21091.47931,4.276107215,0.393973353,0.298198947,0,4.968279515,0,1961.680117,0,4658.505786,44.28501838,0,16.01798537,0,0,0,0,0.942234434,1.648910259,1.177793042,0,8.008992685,0.706675825,0.471117217,25859.93656,6.091530668,6336.672063,1.492657653,,,-0.359754035,-0.271742624,-0.295947838,-0.325374798,31081.71451,7321.565417,2517.974333,8922.29898,3.543443181,3.7780302,25,7,,11,61,2,23,4,,,27,143,68,,232,6.617204913,1.852817376,0,2.911570162,16.14597999,0.529376393,6.08782852,1.058752786,0,0,7.146581306,37.8504121,17.99879736,0,61.40766159,-0.533408266,-0.257992223,-0.124209867,-0.396558806,21,6,6,1,1,8,6,8,8,12,11,13,14,13,6,5,10,8,27,11,21,23,40,33,312
223,4.474907,14,3.128556638,0,0,,,5744.781572,0,655.2166788,3022.256419,9422.25467,1.283776752,0,0.146420178,0.675378599,2.105575528,1090.709852,1347.409317,0,0,34.41412302,0,2.234683313,12.06728989,0,0,0,0,0.670404994,0,0,965.1597229,0,0,49950.02729,11.16224925,235.6913042,0.052669542,,,-0.491524651,0.748224005,-0.257599612,-0.146160703,601.6409913,134.4477084,1923.52572,7270.190354,3.779616918,2.4504576,467,141,,4655,22,603,1287,189,,3,12,3563,72,,6620,190.5766498,57.54027329,0,1899.645193,8.977914982,246.0764879,525.2080265,77.12845144,0,1.224261134,4.897044536,1454.01414,29.38226721,0,2701.536236,0.036163444,0.800657094,2.718738836,0.712805628,112,80,37,22,18,17,35,87,111,115,167,216,212,265,332,411,431,406,338,327,254,206,165,185,4549
224,0.789196,30,38.01337057,1,1.267112352,16,16,2633.115863,0,1884.764309,1089.827976,5607.708148,3.336453635,0,2.388208137,1.38093449,7.105596263,0,2145.68343,253.0488323,2258.51599,6487.615244,0,2.534224705,257.2238075,0,2.534224705,0,25.34224705,229.3473358,17.73957293,0,3.801337057,10.13689882,3.801337057,32945.6676,41.74586237,2267.702795,2.873434222,,,-0.356788823,-0.267156348,-0.222472565,-0.307290253,17447.58875,22108.05522,1830.565708,6677.352211,3.647698732,2.5580659,528,2460,,268,143,2288,108,65,3,1040,14,2204,41,,6176,206.4059413,961.6640447,0,104.766652,55.9016091,894.4257456,42.21939708,25.40982232,1.17276103,406.5571571,5.472884807,861.5884368,16.02773408,0,2414.324041,0.113459659,0.047674549,-0.16294186,0.046493562,546,337,93,39,29,42,181,123,130,323,325,246,202,227,166,147,202,232,200,231,299,349,427,474,5570
225,1.076906,20,18.57172307,2,1.857172307,15,21,4288.596737,730.2254044,1871.11017,0,6889.932311,3.982331547,0.678077199,1.737486995,0,6.397895742,1754.663942,3898.216973,1182.655503,3026.185314,1895.244339,6.500103073,49.21506612,523.7225905,13.00020615,411.3636659,4.642930766,101.2158907,546.0086581,2218.39232,0,237.7180552,8.35727538,191.2887476,83345.63883,77.39360615,3311.77482,3.075268241,2890.334869,2.683924937,0.118356138,0.125258079,-0.262545571,0.040425058,26271.65662,24395.49656,1761.581451,6083.026871,3.453162423,2.6848404,1300,2485,,976,41,2735,600,182,7,1685,42,3086,183,7,5938,484.2001037,925.5671212,0,363.5225394,15.27092635,1018.682526,223.4769709,67.78801451,2.607231327,627.5978267,15.64338796,1149.416554,68.16047613,2.607231327,2211.677089,0.510031963,-0.064965895,0.256726773,0.339626571,567,385,225,129,57,75,89,140,239,238,273,300,279,262,276,281,336,272,352,362,406,455,522,577,7097
226,0.485583,27,55.60326453,1,2.059380168,9,25,3502.154744,0,1328.01639,550.9495054,5381.120639,7.212268024,0,2.734890616,1.134614485,11.08177313,0,807.3374314,770.1200993,935.5866384,162.6910333,0,65.90016537,1727.819961,0,4.118760336,0,2.059380168,0,1567.188308,0,0,0,2.059380168,29219.01141,60.17305262,242.0592292,0.498491976,503.72571,1.037362737,-0.038720769,-0.309819316,-0.309379716,-0.160103604,12835.00781,26432.16054,1871.862603,6364.422656,3.400047977,2.1753428,706,784,,13,84,192,198,13,3,1992,,6560,162,,595,324.5465496,360.4029673,0,5.976069611,38.61460364,88.26195117,91.02013715,5.976069611,1.379092987,915.7177434,0,3015.616665,74.4710213,0,273.5201091,0.297365493,-0.051657222,-0.407354757,0.088220159,183,85,35,25,17,19,19,40,77,66,67,94,73,105,65,68,72,107,99,114,98,117,148,146,1939
227,2.461926,24,9.748465226,0,0,,,19748.124,2301.464441,216.8441773,541.9585131,22808.39113,8.021412504,0.934822753,0.08807908,0.220135988,9.264450325,0,4564.709899,3248.675735,4152.364257,46.71139587,0,19.9031165,281.4869334,0,801.4050788,0.812372102,0,24.37116307,992.7187088,0,1.624744204,92.61041965,0.812372102,37729.55321,15.32521823,4895.149272,1.988341352,,,0.085600144,-0.049627778,0.408613043,0.120746941,43790.23576,17786.98294,3118.977801,6760.521088,2.16754383,2.049948,269,2441,,14,136,4,110,12,2,1975,,1086,23,,3210,131.2228408,1190.761912,0,6.829441527,66.34314627,1.951269008,53.65989771,5.853807023,0.975634504,963.4390726,0,529.7695356,11.21979679,0,1565.893379,0.179274825,0.188748085,-0.450300124,0.06049212,334,168,74,46,37,31,39,104,183,265,289,267,374,303,221,247,267,311,297,263,284,358,410,444,5616
228,7.768527,50,6.436226585,2,0.257449063,20,23,24127.89882,0,3573.758442,915.8768465,28617.53411,3.105852476,0,0.460030382,0.117895818,3.683778676,169.1355783,7970.505967,829.5639287,6821.022726,79.93793418,0,3.218113292,179.9568953,605.7776461,36.81521606,0,5.663879394,227.327523,3.089388761,0,190.2548578,16.73418912,2.059592507,134343.3817,17.2932889,10337.18226,1.330648946,1180.098975,0.151907688,-0.358216754,-0.061613938,-0.16156578,-0.246196956,36621.65637,4714.105566,2222.974333,8218.855782,3.697233774,6.614109,2437,30,,2454,160,3979,2489,305,3,364,4710,3561,449,,1808,368.4547684,4.535758331,0,371.0250315,24.1907111,601.5927467,376.3167495,46.11354303,0.453575833,55.03386775,712.114058,538.3945139,67.88518302,0,273.3550354,-0.033401756,-0.094022263,0.344971581,0.026351166,393,205,107,61,41,32,77,215,338,471,480,514,549,519,560,595,642,655,662,801,825,765,631,544,10682
229,6.549163,33,5.03881183,1,0.152691268,7,12,45122.09286,1266.657499,2189.541666,0,48578.29203,6.889749554,0.193407539,0.334323892,0,7.417480986,0,7484.728932,7671.947619,4658.579208,0,0,0.458073803,37.71474309,4.122664224,0,0,0.152691268,18.62833464,0.152691268,0,2.595751549,8.856093519,0,87609.63411,13.37722608,12166.59015,1.857732072,2607.562008,0.398151948,-0.368687009,-0.268695592,-0.232492387,-0.316318617,44462.91698,6789.099154,2449.124572,8142.522109,3.324666373,5.0211072,23,1,,15,15,,73,2,,7,27,247,3,,18,4.580663006,0.199159261,0,2.987388917,2.987388917,0,14.53862606,0.398318522,0,1.394114828,5.37730005,49.1923375,0.597477783,0,3.5848667,-0.54519321,-0.319261314,-0.076800683,-0.407469863,14,11,8,4,5,5,8,19,20,19,24,32,33,37,26,34,38,31,22,21,14,12,28,34,499
230,3.342451,24,7.180359562,0,0,,,9154.717515,169.9640179,2621.077967,772.3444,12718.1039,2.738923477,0.050850115,0.784178427,0.231071271,3.80502329,0,2821.455697,0,2308.624124,23.63535023,0.299181648,1.196726594,12.26644759,0,0.897544945,0,3.88936143,61.03305628,5.385269672,245.0297701,145.4022811,4.487724727,0.897544945,56764.65057,16.98294173,7685.364054,2.299319887,,,-0.387847484,-0.117164952,-0.26100912,-0.29661254,46160.10233,13810.25551,1831.822382,7581.692857,4.138879911,4.1097746,57,85,819,706,64,4,791,211,3,100,3,679,151,46,61,13.86937376,20.68239947,199.2810019,171.7855768,15.57263019,0.973289387,192.4679762,51.34101515,0.72996704,24.33223467,0.72996704,165.2158734,36.74167435,11.19282795,14.84266315,-0.470599542,-0.166737327,0.117135032,-0.293468657,156,57,27,19,14,8,33,49,79,92,88,80,94,71,56,55,53,76,78,70,65,106,121,139,1686
231,0.579976,24,41.38102266,0,0,,,4325.170817,0,1409.36701,875.7804514,6610.318278,7.45749965,0,2.430043674,1.510028779,11.3975721,1500.887516,2339.694047,573.2719625,1206.027399,939.6940563,0,125.8672773,167.2482999,0,77.58941749,0,405.1891802,3.448418555,1.724209278,0,5.172627833,10.34525567,6524.407907,39938.80067,68.86285066,2903.449796,5.006155075,,,1.522534997,1.401432858,-0.604620323,1.049146963,8116.289902,13994.18235,2099.361111,7198.895024,3.429088491,2.5984547,1374,18,,754,17,4644,69,372,2,95,,847,258,,6166,528.7758143,6.927194074,0,290.1724629,6.542349959,1787.216071,26.55424395,143.1620109,0.76968823,36.56019095,0,325.9629656,99.28978173,0,2372.948815,0.347330743,-0.314011125,0.277164231,0.193769005,287,148,81,41,12,16,37,90,126,198,250,273,305,309,275,274,284,307,328,371,396,396,387,389,5580
232,0.716626,29,40.46741257,0,0,,,3557.484394,1151.12222,408.9072312,0,5117.513845,4.964213403,1.6063082,0.570600608,0,7.14112221,957.0892475,2615.118548,788.0172454,2775.886206,347.4615769,0,82.33025316,164.6605063,0,1.39542802,0,125.5885218,5.581712079,0,0,936.3322012,0,22.32684831,33832.0022,47.21012382,2090.498194,2.917139755,,,-0.412689638,0.672041689,-0.247710541,-0.118803463,8124.784515,11337.55197,2160.440452,6937.519728,3.211159892,2.8503063,1085,652,,699,32,3848,372,433,,556,,376,172,5,1770,380.6608434,228.7473455,0,245.2368014,11.22686358,1350.030346,130.5122892,151.9134979,0,195.0667548,0,131.9156471,60.34439176,1.754197435,620.9858919,0.227477637,-0.223679889,0.19113188,0.124930407,46,35,18,17,17,10,14,25,57,64,50,50,58,70,64,77,72,59,49,60,68,83,85,77,1225
